原名,拉丁名,英语,简体中文,繁體中文,粤语(繁体),日语,俄语,法语,葡萄牙语,西班牙语,越南语,朝鲜语
百九十,190,,百九十,百九十,百九十,190,cent quatre-vingt-dix,cento e noventa,ciento noventa,một trăm chín mươi,백구십
樱落繁花,A Reincarnation of a Scattering Spring,,樱落繁花,櫻落繁花,櫻落繁花,,"Перерождение рассыпающейся весны","Réincarnation d’un printemps épars","A Reencarnação de uma Primavera Esparsa","La reencarnación de una primavera dispersa","Tái sinh của mùa xuân tản mác","흩어진 봄의 환생"
Aconsma,Aconsma,Aconsma,Aconsma,Aconsma,Aconsma,,Aconsma,Aconsma,Aconsma,Aconsma,Aconsma,Aconsma
Agnostic,Agnostic,Agnostic,不可知论,不可知論,不可知論,,Агностик,Agnostique,Agnóstico,Agnóstico,Bất khả tri,불가지론
灯ノ桜蝶,Akashinosakuracho,,灯之樱蝶,燈之櫻蝶,燈之櫻蝶,Akashinosakuracho,"Сакура-бабочка фонаря","Papillon-sakura de la lanterne","Borboleta-sakura da lanterna","Mariposa de cerezo de la linterna","Bướm anh đào của đèn lồng","등롱의 벚꽃나비"
Aleph-0,Aleph-0,Aleph-0,阿列夫-0,阿列夫-0,阿列夫-0,,Алеф-ноль,Aleph-zéro,Aleph-zero,Aleph-cero,Aleph-0,알레프-0
Algebra,Algebra,Algebra,代数,代數,代數,,Алгебра,Algèbre,Álgebra,Álgebra,Đại số,대수학
雨女,Ameonna,,雨女,雨女,雨女,雨女,Женщина-дождь,Femme de pluie,Mulher da chuva,Mujer de la lluvia,Cô gái mưa,비여자
Autumn Rain,Autumn Rain,Autumn Rain,秋雨,秋雨,秋雨,,Осенний дождь,Pluie d’automne,Chuva de outono,Lluvia de otoño,Mưa mùa thu,가을비
BUCHiAGE Fireworks,BUCHiAGE Fireworks,BUCHiAGE Fireworks,BUCHiAGE烟花,BUCHiAGE煙花,BUCHiAGE煙花,,Фейерверки BUCHiAGE,Feux d’artifice BUCHiAGE,Fogos de artifício BUCHiAGE,Fuegos artificiales BUCHiAGE,Pháo hoa BUCHiAGE,BUCHiAGE 불꽃놀이
Before it Ends,Before it Ends,Before it Ends,在结束之前,在結束之前,喺結束之前,,Прежде чем всё закончится,Avant que ça ne finisse,Antes que termine,Antes de que termine,Trước khi kết thúc,끝나기 전에
参宿四~Betelgeuse~,Betelgeuse,,参宿四~Betelgeuse~,參宿四~Betelgeuse~,參宿四~Betelgeuse~,,Бетельгейзе,Bételgeuse,Betelgeuse,Betelgeuse,Betelgeuse,베텔게우스
Bio-Engineering,Bio-Engineering,Bio-Engineering,生物工程,生物工程,生物工程,,Биоинженерия,Bio-ingénierie,Bioengenharia,Bioingeniería,Kỹ thuật sinh học,생명공학
☹,Blueface,Blueface,蓝脸,藍臉,藍面,,Blueface,Blueface,Blueface,Blueface,Blueface,Blueface
